City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrption
131,Provideniya,RU,64.3833,-173.3,12.34,86,95,12.12,overcast clouds
132,Manjeshwar,IN,12.7194,74.8861,79.75,87,99,4.32,overcast clouds
133,Damghan,IR,36.1683,54.348,57.18,52,72,4.74,broken clouds
134,Upernavik,GL,72.7868,-56.1549,25.63,56,100,7.25,overcast clouds
135,Hirara,JP,24.8,125.2833,75.07,76,66,13.27,broken clouds
136,Tessalit,ML,20.1986,1.0114,95.94,10,54,3.38,broken clouds
137,Lagoa,PT,39.05,-27.9833,70.18,89,100,24.25,overcast clouds
138,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.99,35,1,4.61,clear sky
139,Bathsheba,BB,13.2167,-59.5167,86.61,62,20,16.11,few clouds
140,Gastonia,US,35.2621,-81.1873,61.16,75,90,1.99,overcast clouds
141,Ballina,AU,-28.8667,153.5667,66.78,99,95,6.26,overcast clouds
142,Marienburg,PL,54.0359,19.0266,53.89,75,42,10.16,scattered clouds
143,Pisco,PE,-13.7,-76.2167,65.01,82,90,8.05,overcast clouds
144,Arkhangelsk,RU,64.5401,40.5433,35.71,100,90,2.24,light rain
145,Port Blair,IN,11.6667,92.75,81.18,80,96,2.39,overcast clouds
146,Chaihe,CN,44.7667,129.7,39.87,58,100,4.88,overcast clouds
147,Petropavlovka,RU,50.6114,105.3196,30.63,69,22,2.55,few clouds
148,Carnarvon,AU,-24.8667,113.6333,68.07,68,0,18.41,clear sky
149,Kochubey,RU,44.3861,46.5825,48.78,88,0,8.08,clear sky
150,Piranhas,BR,-16.4269,-51.8222,96.53,31,86,3.98,overcast clouds
151,Bonavista,CA,48.6499,-53.1147,51.8,67,13,9.26,few clouds
152,Salair,RU,54.2312,85.7972,27.14,92,93,7.4,overcast clouds
153,Poum,NC,-20.2333,164.0167,74.35,75,10,4.47,clear sky
154,Port Elizabeth,ZA,-33.918,25.5701,62.1,94,0,11.5,clear sky
155,Nouadhibou,MR,20.931,-17.0347,71.58,78,5,17.27,clear sky
156,Mahebourg,MU,-20.4081,57.7,73.69,78,40,4.61,scattered clouds
157,Capreol,CA,46.706,-80.9225,53.55,62,75,3.0,broken clouds
158,Laguna De Perlas,NI,12.3429,-83.6712,87.89,80,89,10.38,overcast clouds
159,Warwick,US,41.7001,-71.4162,63.95,95,90,5.75,fog
160,Virtsu,EE,58.5716,23.5115,47.98,93,87,15.35,overcast clouds
161,Chulman,RU,56.8479,124.9104,-0.98,98,24,2.55,few clouds
162,Talnakh,RU,69.4865,88.3972,18.05,96,100,2.75,light snow
163,Komsomolets,KZ,53.7453,62.0708,39.0,79,100,19.66,overcast clouds
164,Boguchany,RU,58.3814,97.4531,26.96,64,85,10.51,overcast clouds
165,Yebaishou,CN,41.3975,119.6408,45.34,68,100,8.57,overcast clouds
166,Sungaipenuh,ID,-2.0833,101.3833,66.78,97,100,0.43,light rain
167,Hami,CN,42.8,93.45,52.2,38,99,2.39,overcast clouds
168,Pacific Grove,US,36.6177,-121.9166,64.63,91,75,1.99,broken clouds
169,Ahipara,NZ,-35.1667,173.1667,62.53,97,100,16.26,light rain
170,Chernyshevskiy,RU,63.0128,112.4714,25.11,96,100,7.87,light snow
171,Tigil,RU,57.8,158.6667,25.95,92,100,5.68,overcast clouds
172,Alyangula,AU,-13.8483,136.4192,80.04,79,78,4.83,broken clouds
173,Grottammare,IT,42.9888,13.8649,58.8,83,10,1.74,clear sky
174,Kulhudhuffushi,MV,6.6221,73.07,80.4,81,98,7.02,overcast clouds
175,Iraray,PH,8.9936,118.0511,78.85,89,81,5.48,broken clouds
176,Camacha,PT,33.0833,-16.3333,75.52,83,40,11.5,scattered clouds
177,Randolph,US,35.7001,-79.8164,59.4,71,90,5.75,overcast clouds
178,Palauig,PH,15.435,119.9045,79.79,76,66,3.31,broken clouds
179,Bilibino,RU,68.0546,166.4372,-8.88,99,100,1.43,overcast clouds
180,Hare Bay,CA,48.8499,-54.0148,54.75,38,7,1.92,clear sky
181,Bashtanka,UA,47.4072,32.4387,49.68,60,0,8.23,clear sky
182,Carandai,BR,-20.9536,-43.8064,71.64,73,98,7.43,overcast clouds
183,Hay River,CA,60.8156,-115.7999,28.38,86,40,9.22,scattered clouds
184,Eyl,SO,7.9803,49.8164,79.47,74,3,13.33,clear sky
185,Churapcha,RU,62.0025,132.4325,-10.46,100,93,3.04,overcast clouds
186,Lunavada,IN,23.1333,73.6167,71.64,37,54,6.71,broken clouds
187,Kearney,US,40.6995,-99.0815,62.19,44,1,18.41,clear sky
188,Sistranda,NO,63.7256,8.834,52.9,80,71,9.84,broken clouds
189,Nome,US,64.5011,-165.4064,8.67,78,1,3.44,clear sky
190,Kahului,US,20.8947,-156.47,75.85,80,1,5.75,clear sky
